buffer,resolution,realised_deg,signal,n_cells,freq,variant,period,lag,lag_kind,n,block,r,p_naive,n_eff_first,p_eff_first,n_eff_nw,p_eff_nw,boot_lo,boot_hi,p_perm,p_fdr,fdr_reject,verdict
0.1,native,0.0546,footprint,435,W,intensity-model,52,0,lag0,377,7,0.0434,0.4012144189637091,314.1,0.4438202798813115,305.3,0.4503798851753537,-0.0627,0.1334,0.4767046590681864,0.9961690201642212,False,ns
0.1,native,0.0546,footprint,435,W,intensity-model,52,-2,peak,375,7,0.0694,0.1799762568657549,308.2,0.22451062872420538,302.2,0.22906291139525528,-0.0251,0.1546,0.20915816836632672,0.3359328134373125,False,ns
0.1,native,0.0546,footprint,435,W,yoy,52,0,lag0,325,7,-0.0155,0.7803603336624637,255.0,0.8050984008885682,243.6,0.8094793047414136,-0.1658,0.13,0.8010397920415917,0.9961690201642212,False,ns
0.1,native,0.0546,footprint,435,W,yoy,52,7,peak,318,7,-0.0473,0.4001074122503483,249.7,0.45642858379342893,238.5,0.4667703560535221,-0.2302,0.1363,0.4461107778444311,0.5748610277944411,False,ns
0.1,native,0.0546,footprint,435,W,stl,52,0,lag0,377,7,-0.0101,0.8453638937641933,302.2,0.8614952974453064,302.7,0.8613669181398931,-0.1232,0.0883,0.8580283943211358,0.9961690201642212,False,ns
0.1,native,0.0546,footprint,435,W,stl,52,2,peak,375,7,-0.0305,0.5557398942902902,300.6,0.5981360602760717,301.2,0.5977802876948533,-0.1299,0.0614,0.6032793441311738,0.6227399681354052,False,ns
0.1,native,0.0546,footprint,435,ME,level,12,0,lag0,90,4,-0.072,0.5003375713163546,64.6,0.5702524590987724,60.0,0.584774473684949,-0.3385,0.1388,0.619876024795041,0.9961690201642212,False,ns
0.1,native,0.0546,footprint,435,ME,level,12,-5,peak,85,4,-0.3353,0.0017076147964226838,59.0,0.009429623358041435,55.6,0.01185321761107961,-0.5827,-0.0532,0.007798440311937612,0.1959608078384323,False,fragile (naive-only)
0.1,native,0.0546,footprint,435,ME,intensity-model,12,0,lag0,90,4,0.0912,0.39287091474189006,68.9,0.456727839873359,63.9,0.4741930468334208,-0.1589,0.2692,0.5206958608278345,0.9961690201642212,False,ns
0.1,native,0.0546,footprint,435,ME,intensity-model,12,6,peak,84,4,0.278,0.01045915922313676,64.6,0.025423382279043116,60.9,0.030236114951227647,-0.0953,0.5422,0.04779044191161767,0.1959608078384323,False,fragile (naive-only)
0.1,native,0.0546,footprint,435,ME,yoy,12,0,lag0,78,4,-0.0293,0.7990369222708739,53.1,0.834880145661116,51.1,0.8382102877875479,-0.4208,0.2745,0.8512297540491902,0.9961690201642212,False,ns
0.1,native,0.0546,footprint,435,ME,yoy,12,-6,peak,72,4,-0.2836,0.015775514057795086,50.2,0.04548578319670313,47.5,0.05197540737170749,-0.6216,0.1438,0.04859028194361128,0.1959608078384323,False,fragile (naive-only)
0.1,native,0.0546,footprint,435,ME,stl,12,0,lag0,90,4,0.014,0.8955227046161676,68.4,0.9092501281019322,63.7,0.9125347769397447,-0.2584,0.2142,0.9338132373525295,0.9961690201642212,False,ns
